BusinessCategoryId,BusinessId,CategoryId
6,FYWN1wneV18bWNgQjJ2GNg,6
5,FYWN1wneV18bWNgQjJ2GNg,5
4,FYWN1wneV18bWNgQjJ2GNg,4
3,FYWN1wneV18bWNgQjJ2GNg,3
2,FYWN1wneV18bWNgQjJ2GNg,2
1,FYWN1wneV18bWNgQjJ2GNg,1
12,He-G7vWjzVUysIKrfNbPUQ,12
11,He-G7vWjzVUysIKrfNbPUQ,11
10,He-G7vWjzVUysIKrfNbPUQ,10
9,He-G7vWjzVUysIKrfNbPUQ,9
8,He-G7vWjzVUysIKrfNbPUQ,8
14,KQPW8lFf1y5BT2MxiSZ3QA,14
16,8DShNS-LuFqpEWIp0HxijA,16
23,PfOCPjBrlQAnz__NXj9h_w,23
22,PfOCPjBrlQAnz__NXj9h_w,22
21,PfOCPjBrlQAnz__NXj9h_w,21
20,PfOCPjBrlQAnz__NXj9h_w,20
19,PfOCPjBrlQAnz__NXj9h_w,19
18,PfOCPjBrlQAnz__NXj9h_w,18
25,o9eMRCWt5PkpLDE0gOPtcQ,24
29,kCoE3jvEtg6UVz5SOD3GVw,28
28,kCoE3jvEtg6UVz5SOD3GVw,27
27,kCoE3jvEtg6UVz5SOD3GVw,26
31,OD2hnuuTJI9uotcKycxg1A,30
34,EsMcGiZaQuG1OOvL9iUFug,33
33,EsMcGiZaQuG1OOvL9iUFug,32
36,TGWhGNusxyMaA4kQVBNeew,35
42,XOSRcvtaKc_Q5H1SAzN20A,40
41,XOSRcvtaKc_Q5H1SAzN20A,39
40,XOSRcvtaKc_Q5H1SAzN20A,33
39,XOSRcvtaKc_Q5H1SAzN20A,38
38,XOSRcvtaKc_Q5H1SAzN20A,37
44,Y0eMNa5C-YU1RQOZf9XvVA,42
53,NmZtoE3v8RdSJEczYbMT9g,5
52,NmZtoE3v8RdSJEczYbMT9g,6
51,NmZtoE3v8RdSJEczYbMT9g,46
50,NmZtoE3v8RdSJEczYbMT9g,2
49,NmZtoE3v8RdSJEczYbMT9g,4
55,fNMVV_ZX7CJSDWQGdOM8Nw,37
60,IQSlT5jGE6CCDhSG0zG3xg,50
64,b2I2DXtZVnpUMCXp1JON7A,54
63,b2I2DXtZVnpUMCXp1JON7A,53
62,b2I2DXtZVnpUMCXp1JON7A,52
66,0FMKDOU8TJT1x87OKYGDTg,55
77,94KziT6DQ9XlBET3WzIv_w,30
76,94KziT6DQ9XlBET3WzIv_w,60
75,94KziT6DQ9XlBET3WzIv_w,59
74,94KziT6DQ9XlBET3WzIv_w,58
95,VBHEsoXQb2AQ76J9l8h1uQ,30
94,VBHEsoXQb2AQ76J9l8h1uQ,73
93,VBHEsoXQb2AQ76J9l8h1uQ,72
102,Dj0S-Oe4ytRJzMGUPgYUkw,76
101,Dj0S-Oe4ytRJzMGUPgYUkw,75
100,Dj0S-Oe4ytRJzMGUPgYUkw,20
106,gAy4LYpsScrj8POnCW6btQ,38
105,gAy4LYpsScrj8POnCW6btQ,19
104,gAy4LYpsScrj8POnCW6btQ,33
112,zzMu-6SmqhpvHxVRM6tx9g,53
111,zzMu-6SmqhpvHxVRM6tx9g,79
110,zzMu-6SmqhpvHxVRM6tx9g,35
124,7gquCdaFoHZCcLYDttpHtw,84
