ZipCode,StateName,City,CountyName
85044,Arizona,Phoenix,Maricopa
85017,Arizona,Phoenix,Maricopa
85282,Arizona,Tempe,Maricopa
85381,Arizona,Peoria,Maricopa
85204,Arizona,Mesa,Maricopa
85034,Arizona,Phoenix,Maricopa
85022,Arizona,Phoenix,Maricopa
85086,Arizona,Phoenix,Maricopa
85260,Arizona,Scottsdale,Maricopa
85331,Arizona,Cave creek,Maricopa
85379,Arizona,Zcta 85379,Maricopa
85016,Arizona,Phoenix,Maricopa
85054,Arizona,Phoenix,Maricopa
85301,Arizona,Glendale,Maricopa
85207,Arizona,Mesa,Maricopa
85201,Arizona,Mesa,Maricopa
85032,Arizona,Phoenix,Maricopa
85258,Arizona,Scottsdale,Maricopa
85035,Arizona,Phoenix,Maricopa
85257,Arizona,Scottsdale,Maricopa
85013,Arizona,Phoenix,Maricopa
85302,Arizona,Glendale,Maricopa
85210,Arizona,Mesa,Maricopa
85345,Arizona,Peoria,Maricopa
85233,Arizona,Gilbert,Maricopa
85234,Arizona,Gilbert,Maricopa
85212,Arizona,Mesa,Maricopa
85040,Arizona,Phoenix,Maricopa
85051,Arizona,Phoenix,Maricopa
85029,Arizona,Phoenix,Maricopa
85048,Arizona,Phoenix,Maricopa
85226,Arizona,Chandler,Maricopa
85050,Arizona,Phoenix,Maricopa
85027,Arizona,New river stage,Maricopa
85281,Arizona,Tempe,Maricopa
85004,Arizona,Phoenix,Maricopa
85008,Arizona,Phoenix,Maricopa
85018,Arizona,Phoenix,Maricopa
85009,Arizona,Phoenix,Maricopa
85015,Arizona,Phoenix,Maricopa
85339,Arizona,Laveen,Maricopa
85255,Arizona,Scottsdale,Maricopa
85268,Arizona,Fountain hills,Maricopa
85248,Arizona,Sun lakes,Maricopa
85382,Arizona,Peoria,Maricopa
85033,Arizona,Phoenix,Maricopa
85251,Arizona,Scottsdale,Maricopa
85215,Arizona,Mesa,Maricopa
85306,Arizona,Glendale,Maricopa
85323,Arizona,Avondale,Maricopa
85224,Arizona,Chandler,Maricopa
85373,Arizona,Sun city,Maricopa
85262,Arizona,Scottsdale,Maricopa
85019,Arizona,Phoenix,Maricopa
85023,Arizona,Phoenix,Maricopa
85308,Arizona,Glendale,Maricopa
85340,Arizona,Litchfield park,Maricopa
85374,Arizona,Surprise,Maricopa
85253,Arizona,Paradise valley,Maricopa
85335,Arizona,El mirage,Maricopa
85254,Arizona,Scottsdale,Maricopa
85202,Arizona,Mesa,Maricopa
85351,Arizona,Sun city,Maricopa
85283,Arizona,Tempe,Maricopa
85006,Arizona,Phoenix,Maricopa
85203,Arizona,Mesa,Maricopa
85304,Arizona,Glendale,Maricopa
85310,Arizona,Glendale,Maricopa
85014,Arizona,Phoenix,Maricopa
85249,Arizona,Chandler,Maricopa
85085,Arizona,Phoenix,Maricopa
85021,Arizona,Phoenix,Maricopa
85225,Arizona,Chandler,Maricopa
85031,Arizona,Phoenix,Maricopa
85296,Arizona,Gilbert,Maricopa
85206,Arizona,Mesa,Maricopa
85003,Arizona,Phoenix,Maricopa
85250,Arizona,Scottsdale,Maricopa
85053,Arizona,Phoenix,Maricopa
85213,Arizona,Mesa,Maricopa
85020,Arizona,Phoenix,Maricopa
85338,Arizona,Goodyear,Maricopa
85028,Arizona,Phoenix,Maricopa
85012,Arizona,Phoenix,Maricopa
85037,Arizona,Phoenix,Maricopa
85353,Arizona,Tolleson,Maricopa
85305,Arizona,Glendale,Maricopa
85284,Arizona,Tempe,Maricopa
85007,Arizona,Phoenix,Maricopa
85259,Arizona,Scottsdale,Maricopa
85087,Arizona,Zcta 85087,Maricopa
85205,Arizona,Mesa,Maricopa
85375,Arizona,Sun city west,Maricopa
85303,Arizona,Glendale,Maricopa
85043,Arizona,Phoenix,Maricopa
85256,Arizona,Scottsdale,Maricopa
90001,California,Los angeles,Los Angeles
85208,Arizona,Mesa,Maricopa
85363,Arizona,Youngtown,Maricopa
91020,California,Montrose,Los Angeles
85024,Arizona,Phoenix,Maricopa
85045,Arizona,Phoenix,Maricopa
71701,Arkansas,East camden,Ouachita
85236,Arizona,Higley,Maricopa
85041,Arizona,Phoenix,Maricopa
71638,Arkansas,Dermott,Chicot
85307,Arizona,Luke afb,Maricopa
71642,Arkansas,Fountain hill,Ashley
85324,Arizona,Rock springs,Yavapai
85355,Arizona,Waddell,Maricopa
85328,Arizona,Cibola,La Paz
85264,Arizona,Fort mcdowell,Maricopa
94066,California,San bruno,San Mateo
90210,California,Beverly hills,Los Angeles
85545,Arizona,Roosevelt,Gila
94565,California,Shore acres,Contra Costa
71640,Arkansas,Eudora,Chicot
85242,Arizona,Arizona boys ran,Maricopa
93013,California,Carpinteria,Santa Barbara
85347,Arizona,Roll,Yuma
94901,California,San rafael,Marin
85232,Arizona,Florence,Pinal
71665,Arkansas,Rison,Cleveland
72202,Arkansas,Little rock,Pulaski
85705,Arizona,Tucson,Pima
93449,California,Shell beach,San Luis Obispo
85326,Arizona,Buckeye,Maricopa
86023,Arizona,Grand canyon,Coconino
93612,California,Clovis,Fresno
71854,Arkansas,Zcta 71854,Miller
72041,Arkansas,De valls bluff,Prairie
85223,Arizona,Arizona city,Pinal
85337,Arizona,Gila bend,Maricopa
85935,Arizona,Pinetop,Navajo
92585,California,Romoland,Riverside
85541,Arizona,Payson,Gila
91205,California,Glendale,Los Angeles
90720,California,Rossmoor,Orange
85361,Arizona,Wittmann,Maricopa
85237,Arizona,Kearny,Pinal
85354,Arizona,Tonopah,Maricopa
85329,Arizona,Cashion,Maricopa
92328,California,Death valley,Inyo
92832,California,Zcta 92832,Orange
85235,Arizona,Hayden,Gila
95224,California,Avery,Calaveras
95966,California,Oroville,Butte
91950,California,National city,San Diego
85309,Arizona,Luke afb,Maricopa
92008,California,Carlsbad,San Diego
15120,Pennsylvania,Munhall,Allegheny
44035,Ohio,Elyria,Lorain
15236,Pennsylvania,Caste village,Allegheny
53703,Wisconsin,Madison,Dane
89101,Nevada,Las vegas,Clark
28104,North carolina,Zcta 28104,Union
89120,Nevada,Las vegas,Clark
44113,Ohio,Cleveland,Cuyahoga
44115,Ohio,Cleveland,Cuyahoga
44212,Ohio,Brunswick,Medina
28083,North carolina,Kannapolis,Cabarrus
85298,,,
15231,,,
70327,,,
89044,,,
70374,Louisiana,Lockport,Lafourche Parish
15220,Pennsylvania,Parkway center,Allegheny
70771,,,
70565,,,
70469,,,
29715,South carolina,Tega cay,York
85066,,,
89138,,,
28284,,,
