ZipCode,Value2020,Value2021,Value2022
85044,1334,1417,1786
85282,1369,1422,1850
89128,1270,1372,1746
89014,1176,1244,1632
28202,1574,1473,1775
85381,1235,1337,1684
85204,1180,1284,1698
89119,1121,1209,1545
85022,1253,1332,1729
85086,1595,1732,2214
85260,1576,1661,2141
44107,1030,1121,1229
89113,1446,1515,1882
28036,1495,1535,1842
89122,1210,1295,1608
89109,1837,1849,2270
28203,1541,1513,1870
89102,1051,1120,1523
89117,1247,1330,1630
89107,1296,1320,1620
85379,1472,1696,2043
28031,1330,1439,1735
85016,1426,1463,1911
85054,1637,1660,2127
53719,1237,1288,1372
28105,1332,1422,1644
85301,984,1090,1344
28209,1410,1407,1673
89103,1063,1122,1490
85207,1560,1786,2039
85201,1113,1232,1559
85032,1299,1364,1771
28027,1316,1395,1638
85258,1493,1649,2104
28213,1247,1333,1584
28205,1358,1392,1682
89012,1493,1580,1928
85035,953,1046,0
89101,1294,1345,0
89145,1467,1566,1835
85257,1464,1526,1899
85013,1242,1290,1564
85302,1154,1293,1551
89121,1060,1100,1419
28262,1189,1253,1484
85210,1025,1121,1457
85345,1283,1453,1754
85233,1605,1777,2142
89129,1458,1574,1900
85234,1547,1694,2027
89118,1261,1330,1664
85212,1595,1790,2174
89104,991,1173,1424
85040,1290,1451,1719
28056,1460,1598,1736
28104,1676,1763,1984
89123,1315,1396,1719
15217,1397,1429,1537
85051,1255,1351,1694
89011,1438,1516,1884
89148,1526,1654,2079
85029,1247,1309,1619
89030,857,884,1160
85048,1481,1628,1985
85226,1342,1431,1766
85050,1818,2025,2482
89120,1171,1271,1591
85027,1153,1244,1569
85281,1515,1508,1897
44118,1126,1189,1325
28269,1331,1452,1704
85008,1200,1259,1621
85018,1317,1369,1789
28227,1363,1504,1701
85015,1103,1191,1478
85339,1536,1802,2170
85255,2003,2148,2689
85268,1686,1880,2538
85248,1692,1774,2168
85382,1476,1551,1956
85033,1149,1332,1596
15203,1523,1526,1594
89052,1479,1605,2031
85251,1455,1533,2036
85215,1536,1704,2139
85306,1261,1346,1754
85323,1368,1587,1947
85224,1400,1492,1912
28078,1464,1549,1818
85373,1602,1479,2119
89149,1487,1601,1961
89147,1391,1484,1901
28226,1246,1300,1526
15136,734,0,834
85019,1280,1385,0
85023,1134,1234,1556
89032,1391,1604,1941
28217,1324,1402,1675
89015,1505,1645,1993
28277,1521,1518,1808
89130,1368,1513,1838
85308,1323,1451,1809
85340,1564,1738,2191
85374,1322,1528,1919
85253,1405,1574,0
85335,1338,1586,1941
85254,1756,1829,2461
85202,1080,1192,1518
85351,1181,1204,1483
85283,1270,1354,1838
85006,1153,1215,1562
85203,1108,1182,1455
85310,1646,1864,2225
89106,1241,1401,1657
28207,1871,1898,2210
44120,1011,1009,1146
85014,1105,1189,1511
85249,1890,2175,2540
85085,1329,1465,1791
28025,1289,1429,1646
85021,1018,1117,1491
89146,1190,1270,1571
28211,1988,1894,1972
85225,1348,1469,1810
85031,846,956,1257
28210,1354,1388,1621
53711,1210,1261,1363
85296,1624,1810,2153
28052,909,1003,1158
85206,1269,1395,1727
89135,1827,1913,2347
89144,1620,1675,2060
15211,1237,1296,1331
89131,1501,1617,1985
28212,1230,1327,1635
85250,1755,1920,2295
28278,1431,1487,1746
85053,1172,1313,1608
44109,723,776,857
89110,1108,1169,1449
89115,942,988,1252
28081,1156,1245,1492
85213,1228,1301,1684
89134,1655,1732,2105
85020,1213,1334,1649
44121,1044,1109,1229
85338,1424,1661,2046
85012,1420,1425,1813
85037,1284,1417,1757
85353,1455,1704,2069
28273,1362,1369,1600
28079,1530,1672,1888
28215,1422,1595,1810
28216,1312,1436,1730
85259,2512,2722,0
85205,1361,1513,1876
85375,1462,1638,1947
89141,1611,1794,2122
89156,1179,1334,1656
28214,1370,1535,1772
89031,1462,1659,1984
85043,1428,1626,2016
89139,1486,1607,2010
28208,1241,1347,1613
85208,1440,1577,1897
32258,1397,1489,1871
85024,1278,1345,1777
19464,1237,1234,1487
29204,955,1061,1258
85041,1453,1686,2035
89143,1580,1740,2130
85307,1451,1693,1949
28115,1438,1530,1783
19401,1295,1415,1573
77384,1267,1249,1435
90210,7711,7205,9006
94565,1898,1953,2171
60007,1632,1740,1841
28037,1341,1471,1693
94901,2806,2731,3131
30101,1535,1685,1969
85705,820,888,1044
85326,1375,1659,1952
28110,1383,1534,1764
63376,1094,1124,1284
90720,2277,2362,2703
92832,2280,2296,2796
23231,1344,1468,1598
21211,1429,1493,0
29203,934,942,1076
60031,1250,1335,1603
92008,2457,2521,2888
